"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"706",2,30,1,3,2,3,2,-67.0782719603879,-35.20683556184,"995a73515d8675d6",0
"707",2,41,2,4,1,2,2,-58.0180951945351,-35.0034017708424,"99686c484980c659",0
"708",2,21,2,3,3,6,2,-60.9750170479814,-35.4815001862116,"9a12554a403c2726",0
"709",2,64,1,2,3,1,1,-59.6979640185907,-36.789573869325,"9a1d1a505f17707c",0
"710",1,25,1,3,1,6,2,-58.4488804101251,-34.6151479182398,"9a297d067fd506c3",0
"711",1,34,1,3,1,4,1,-58.3941226666696,-34.7047432858555,"9a4f75b415874fc6",0
"712",2,27,1,3,1,3,2,-58.3976943022257,-34.9291236978428,"9a7bc9888852d013",0
"713",2,18,1,3,1,7,2,-68.6422563610844,-31.5544504953568,"9b2ad3fb336604fd",0
"714",1,20,1,3,1,6,2,-58.423469690169,-34.7541169431057,"9b9930d3558d3b09",0
"715",1,18,1,3,2,2,2,-70.5663895816414,-51.4133900352533,"9ba20b845fadfb4f",0
"716",1,34,1,2,1,4,1,-58.6914314463256,-34.551278217791,"9bc8bd518bf5dc18",0
"717",1,33,1,3,3,8,2,-64.3070592388571,-31.7112018537678,"9c18db1824dd019d",0
"718",1,28,1,2,1,6,1,-58.5641494773466,-34.8752388864172,"9c26668aa13550dc",0
"719",2,34,1,2,1,4,1,-67.5580664653313,-38.5298248372128,"9c551b76f05b0cd3",0
"720",1,45,1,2,1,5,1,-68.3505615915447,-34.9460322967049,"9c923da624293023",0
"721",2,27,1,3,1,3,1,-58.847133581623,-34.8130332812934,"9ca5daf17c7bdc58",0
"722",1,49,1,2,3,3,1,-71.306231274193,-40.3011508767928,"9d1899d83c8fc3a4",0
"723",1,49,1,3,1,6,1,-69.5128052140985,-33.6252198323936,"9d442516a802a182",0
"724",1,36,1,2,1,2,1,-60.1737186089963,-26.6734064128124,"9d7c55fdf5a775a0",0
"725",1,19,1,3,3,5,2,-68.8008483052465,-38.8307903152535,"9dd44a59aa055786",0
"726",1,18,1,3,3,5,2,-60.0438436477086,-31.6969409558606,"9fa034b5b4258d9a",0
"727",1,45,1,2,1,6,1,-58.7770476904653,-34.511070292185,"9ff89f89f4b0b2bc",0
"728",1,40,1,3,1,2,2,-58.8103623815554,-34.6098501944399,"a038922209f49943",0
"729",1,39,1,2,2,3,2,-58.3903361921509,-27.7793619372941,"a127d5ff1f14a154",0
"730",2,47,1,2,3,4,1,-58.3668830324285,-34.834805250436,"a12a072183433ad4",0
"731",2,27,1,3,1,3,2,-58.3413586936725,-34.6784127460771,"a12cd8b2ff816763",0
"732",2,42,1,2,2,3,1,-58.5637335647496,-34.5518231350295,"a15205420d33dfb5",0
"733",1,19,1,3,3,5,2,-60.6696152885451,-31.4770125774097,"a173f3d152015237",0
"734",2,19,1,3,1,7,2,-69.2726528707856,-32.5229690773084,"a177ca79934800d8",0
"735",1,24,1,3,1,6,2,-58.5053444861507,-34.5263761375676,"a195bc4061cd4827",0
"736",1,47,2,3,1,4,1,-58.4488804101251,-34.6151479182398,"a1960a4c0713628d",0
"737",1,44,2,2,1,3,2,-58.4488804101251,-34.6151479182398,"a1d182c837098f95",0
"738",1,26,1,2,1,2,1,-57.7400569739232,-37.965633071548,"a1d27b14278f5072",0
"739",1,72,1,3,1,1,1,-58.4488804101251,-34.6151479182398,"a201ad1c029d239c",0
"740",1,32,1,3,1,4,1,-64.1832160923879,-31.4170640978912,"a2365cd9bcc14020",0
"741",2,37,1,3,3,5,1,-60.6696152885451,-31.4770125774097,"a26517a18915729a",0
"742",1,49,2,2,1,4,1,-58.3668830324285,-34.834805250436,"a271394f562a7338",0
"743",2,71,1,3,3,2,2,-58.3413586936725,-34.6784127460771,"a2c2582a890adaa5",0
"744",2,31,1,3,1,4,2,-58.3668830324285,-34.834805250436,"a2f9d2bb28869dc5",0
"745",2,35,1,3,3,4,2,-64.1832160923879,-31.4170640978912,"a2fff23ca43bb1a7",0
"746",1,20,1,2,2,5,2,-70.5663895816414,-51.4133900352533,"a323ac8a5b71d203",0
"747",1,30,1,3,1,3,1,-60.6696152885451,-31.4770125774097,"a324f9f9c11c0294",0
